name,star_rating,review_count,detail_url,location,categories
Root & Bone Indianapolis,4.4,735,https://www.yelp.com/biz/root-and-bone-indianapolis-indianapolis?osq=Restaurants,Meridian Kessler,American
Zaxbys,3.1,77,https://www.yelp.com/adredir?ad_business_id=JpeQ0CqPAKejAun64bjrfw&campaign_id=213232563&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzaxbys-greenwood-7&request_id=aa1fad2467e8c254&signature=2baf05049d5fd4ad3ca206200e83cb1d7b9d8b62d20012c34bbd6e327004c85e&slot=0,,Southern;Chicken Shop;Tacos
Topgolf,3.8,539,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&amp;campaign_id=213171001&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&amp;request_id=ddae47fc7cc01220&amp;signature=6f13ca2d4d04cac9f3eb5bd2ff30996fcf8abb2d464bfb62f59229066a8d3aeb&amp;slot=0,,Pool &amp; Billiards;New American;Sports Bars
Culver’s,3.9,27,https://www.yelp.com/adredir?ad_business_id=fzdl0UsQh90NPw5_MMYqoQ&amp;campaign_id=214064585&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fculvers-indianapolis-11&amp;request_id=ddae47fc7cc01220&amp;signature=1cfb140198b76289f5960e318ff244ffa1882cb97043bfedee8024603664a7b9&amp;slot=1,,Ice Cream &amp; Frozen Yogurt;Fast Food;Burgers
Dave &amp; Buster’s Greenwood,2.8,52,https://www.yelp.com/adredir?ad_business_id=rlgpNDhdB5LwtOWoB0G2nA&amp;campaign_id=204174032&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdave-and-busters-greenwood-greenwood-2&amp;request_id=ddae47fc7cc01220&amp;signature=168806a0e342305dd61b91ac42310aa7f7c38682e3738454b22da9e6aa4b8687&amp;slot=2,,American;Sports Bars;Arcades
The Fountain Room,4.4,456,https://www.yelp.com/biz/the-fountain-room-indianapolis?osq=Restaurants,Chatham Arch,Seafood;Steakhouses;Supper Clubs
The Eagle,4.5,3090,https://www.yelp.com/biz/the-eagle-indianapolis-13?osq=Restaurants,Mile Square,American;Southern
Livery - Indianapolis,4.6,1474,https://www.yelp.com/biz/livery-indianapolis-indianapolis-5?osq=Restaurants,Chatham Arch,Latin American;Empanadas;Tacos
Bluebeard,4.4,1365,https://www.yelp.com/biz/bluebeard-indianapolis?osq=Restaurants,Fletcher Place,New American;Venues &amp; Event Spaces;Cocktail Bars
Rosemary &amp; Olive,4.3,155,https://www.yelp.com/biz/rosemary-and-olive-indianapolis?osq=Restaurants,Chatham Arch,Italian
The Oakmont,4.3,517,https://www.yelp.com/biz/the-oakmont-indianapolis?osq=Restaurants,Mile Square,American;Breakfast &amp; Brunch;Bars
The Good Spot,4.7,72,https://www.yelp.com/biz/the-good-spot-indianapolis-2?osq=Restaurants,,Restaurants;Pubs
Almost Famous,4.5,67,https://www.yelp.com/biz/almost-famous-indianapolis?osq=Restaurants,Chatham Arch,Ticket Sales;Coffee &amp; Tea;Tapas Bars
BODHI,4.6,547,https://www.yelp.com/biz/bodhi-indianapolis-2?osq=Restaurants,Chatham Arch,Thai;Cocktail Bars;Gastropubs
Bocca,4.6,231,https://www.yelp.com/biz/bocca-indianapolis?osq=Restaurants,Herron Morton Place,Italian;Cocktail Bars
Subway,4.0,9,https://www.yelp.com/adredir?ad_business_id=iz-zkIOSaCsbOPMXB4rVPA&amp;campaign_id=214082803&amp;click_origin=search_results&amp;placement=below_search&amp;placement_slot=1&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsubway-indianapolis-206&amp;request_id=ddae47fc7cc01220&amp;signature=b333e5fcc4e87a8b6391690af42d9fc95400a38b654ab24996993cad7f3e17bc&amp;slot=0,Mile Square,Fast Food;Sandwiches
Topgolf,3.8,539,https://www.yelp.com/adredir?ad_business_id=gqCHiQ0OiDkARDQzlEFUiA&campaign_id=213171001&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopgolf-fishers&request_id=ddae47fc7cc01220&signature=6f13ca2d4d04cac9f3eb5bd2ff30996fcf8abb2d464bfb62f59229066a8d3aeb&slot=0,,Pool & Billiards;New American;Sports Bars
Culver’s,3.9,27,https://www.yelp.com/adredir?ad_business_id=fzdl0UsQh90NPw5_MMYqoQ&campaign_id=214064585&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fculvers-indianapolis-11&request_id=ddae47fc7cc01220&signature=1cfb140198b76289f5960e318ff244ffa1882cb97043bfedee8024603664a7b9&slot=1,,Ice Cream & Frozen Yogurt;Fast Food;Burgers
Dave & Buster’s Greenwood,2.8,52,https://www.yelp.com/adredir?ad_business_id=rlgpNDhdB5LwtOWoB0G2nA&campaign_id=204174032&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdave-and-busters-greenwood-greenwood-2&request_id=ddae47fc7cc01220&signature=168806a0e342305dd61b91ac42310aa7f7c38682e3738454b22da9e6aa4b8687&slot=2,,American;Sports Bars;Arcades
Rosemary & Olive,4.3,155,https://www.yelp.com/biz/rosemary-and-olive-indianapolis?osq=Restaurants,Chatham Arch,Italian
Subway,4.0,9,https://www.yelp.com/adredir?ad_business_id=iz-zkIOSaCsbOPMXB4rVPA&campaign_id=214082803&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsubway-indianapolis-206&request_id=ddae47fc7cc01220&signature=b333e5fcc4e87a8b6391690af42d9fc95400a38b654ab24996993cad7f3e17bc&slot=0,Mile Square,Fast Food;Sandwiches
